*** True densities ***
( -40 , 0 )
( -39 , 0 )
( -38 , 0 )
( -37 , 0 )
( -36 , 1.5651E-5 )
( -35 , 2.7662E-5 )
( -34 , 6.9883E-5 )
( -33 , 9.8191E-5 )
( -32 , 0.00020152 )
( -31 , 0.00023595 )
( -30 , 0.00055858 )
( -29 , 0.00049850 )
( -28 , 0.00099522 )
( -27 , 0.0011010 )
( -26 , 0.0017053 )
( -25 , 0.0016990 )
( -24 , 0.0033134 )
( -23 , 0.0025856 )
( -22 , 0.0042524 )
( -21 , 0.0044856 )
( -20 , 0.0068780 )
( -19 , 0.0056624 )
( -18 , 0.0099868 )
( -17 , 0.0077327 )
( -16 , 0.012666 )
( -15 , 0.012039 )
( -14 , 0.015587 )
( -13 , 0.013183 )
( -12 , 0.023504 )
( -11 , 0.016556 )
( -10 , 0.025070 )
( -9 , 0.023037 )
( -8 , 0.031537 )
( -7 , 0.024504 )
( -6 , 0.038462 )
( -5 , 0.029061 )
( -4 , 0.041859 )
( -3 , 0.035569 )
( -2 , 0.043142 )
( -1 , 0.034024 )
( 0 , 0.056193 )
( 1 , 0.034024 )
( 2 , 0.043142 )
( 3 , 0.035569 )
( 4 , 0.041859 )
( 5 , 0.029061 )
( 6 , 0.038462 )
( 7 , 0.024504 )
( 8 , 0.031537 )
( 9 , 0.023037 )
( 10 , 0.025070 )
( 11 , 0.016556 )
( 12 , 0.023504 )
( 13 , 0.013183 )
( 14 , 0.015587 )
( 15 , 0.012039 )
( 16 , 0.012666 )
( 17 , 0.0077327 )
( 18 , 0.0099868 )
( 19 , 0.0056624 )
( 20 , 0.0068780 )
( 21 , 0.0044856 )
( 22 , 0.0042524 )
( 23 , 0.0025856 )
( 24 , 0.0033134 )
( 25 , 0.0016990 )
( 26 , 0.0017053 )
( 27 , 0.0011010 )
( 28 , 0.00099522 )
( 29 , 0.00049850 )
( 30 , 0.00055858 )
( 31 , 0.00023595 )
( 32 , 0.00020152 )
( 33 , 9.8191E-5 )
( 34 , 6.9883E-5 )
( 35 , 2.7662E-5 )
( 36 , 1.5651E-5 )
( 37 , 0 )
( 38 , 0 )
( 39 , 0 )
( 40 , 0 )
*** Predicted densities ***
( -40 , 0 )
( -39 , 0 )
( -38 , 0 )
( -37 , 0 )
( -36 , 0 )
( -35 , 0 )
( -34 , 6.3130E-5 )
( -33 , 0.00010650 )
( -32 , 0.00021866 )
( -31 , 0.00024369 )
( -30 , 0.00056706 )
( -29 , 0.00051927 )
( -28 , 0.0010466 )
( -27 , 0.0011038 )
( -26 , 0.0016918 )
( -25 , 0.0017179 )
( -24 , 0.0033791 )
( -23 , 0.0026131 )
( -22 , 0.0042602 )
( -21 , 0.0045211 )
( -20 , 0.0069269 )
( -19 , 0.0055687 )
( -18 , 0.0097959 )
( -17 , 0.0076584 )
( -16 , 0.012525 )
( -15 , 0.011989 )
( -14 , 0.015477 )
( -13 , 0.013124 )
( -12 , 0.023676 )
( -11 , 0.016483 )
( -10 , 0.024857 )
( -9 , 0.022712 )
( -8 , 0.031127 )
( -7 , 0.024335 )
( -6 , 0.038536 )
( -5 , 0.028808 )
( -4 , 0.041896 )
( -3 , 0.035485 )
( -2 , 0.042942 )
( -1 , 0.033742 )
( 0 , 0.060567 )
( 1 , 0.033742 )
( 2 , 0.042942 )
( 3 , 0.035485 )
( 4 , 0.041896 )
( 5 , 0.028808 )
( 6 , 0.038536 )
( 7 , 0.024335 )
( 8 , 0.031127 )
( 9 , 0.022712 )
( 10 , 0.024857 )
( 11 , 0.016483 )
( 12 , 0.023676 )
( 13 , 0.013124 )
( 14 , 0.015477 )
( 15 , 0.011989 )
