*** True densities ***
( -8 , 0 )
( -7 , 0 )
( -6 , 0.0040000 )
( -5 , 0.012800 )
( -4 , 0.045000 )
( -3 , 0.070666 )
( -2 , 0.13200 )
( -1 , 0.14800 )
( 0 , 0.17507 )
( 1 , 0.14800 )
( 2 , 0.13200 )
( 3 , 0.070666 )
( 4 , 0.045000 )
( 5 , 0.012800 )
( 6 , 0.0040000 )
( 7 , 0 )
( 8 , 0 )
*** Predicted densities ***
( -8 , 0 )
( -7 , 0.00090298 )
( -6 , 0.0064755 )
( -5 , 0.013400 )
( -4 , 0.041195 )
( -3 , 0.061752 )
( -2 , 0.11628 )
( -1 , 0.12634 )
( 0 , 0.26730 )
( 1 , 0.12634 )
( 2 , 0.11628 )
( 3 , 0.061752 )
( 4 , 0.041195 )
( 5 , 0.013400 )
( 6 , 0.0064755 )
( 7 , 0.00090298 )
( 8 , 0 )
*** Smooth interpolation using the Sato-Tate density ***
( -8 , 0 )
( -79/10 , 0 )
( -39/5 , 0 )
( -77/10 , 0 )
( -38/5 , 0.00036331 )
( -15/2 , 0.00025034 )
( -37/5 , 0.00041402 )
( -73/10 , 0.00054269 )
( -36/5 , 0.00072535 )
( -71/10 , 0.00090992 )
( -7 , 0.0011300 )
( -69/10 , 0.0013683 )
( -34/5 , 0.0016434 )
( -67/10 , 0.0019666 )
( -33/5 , 0.0023256 )
( -13/2 , 0.0027215 )
( -32/5 , 0.0031729 )
( -63/10 , 0.0036829 )
( -31/5 , 0.0042408 )
( -61/10 , 0.0048502 )
( -6 , 0.0055278 )
( -59/10 , 0.0062779 )
( -29/5 , 0.0070911 )
( -57/10 , 0.0079681 )
( -28/5 , 0.0089239 )
( -11/2 , 0.0099672 )
( -27/5 , 0.011091 )
( -53/10 , 0.012292 )
( -26/5 , 0.013579 )
( -51/10 , 0.014965 )
( -5 , 0.016452 )
( -49/10 , 0.018030 )
( -24/5 , 0.019701 )
( -47/10 , 0.021477 )
( -23/5 , 0.023368 )
( -9/2 , 0.025370 )
( -22/5 , 0.027475 )
( -43/10 , 0.029686 )
( -21/5 , 0.032016 )
( -41/10 , 0.034472 )
( -4 , 0.037047 )
( -39/10 , 0.039735 )
( -19/5 , 0.042536 )
( -37/10 , 0.045462 )
( -18/5 , 0.048520 )
( -7/2 , 0.051703 )
( -17/5 , 0.055001 )
( -33/10 , 0.058413 )
( -16/5 , 0.061945 )
( -31/10 , 0.065609 )
( -3 , 0.069397 )
( -29/10 , 0.073295 )
( -14/5 , 0.077295 )
( -27/10 , 0.081402 )
( -13/5 , 0.085626 )
( -5/2 , 0.089962 )
( -12/5 , 0.094394 )
( -23/10 , 0.098903 )
( -11/5 , 0.10349 )
( -21/10 , 0.10816 )
( -2 , 0.11291 )
( -19/10 , 0.11773 )
( -9/5 , 0.12258 )
( -17/10 , 0.12746 )
( -8/5 , 0.13236 )
( -3/2 , 0.13728 )
( -7/5 , 0.14222 )
( -13/10 , 0.14713 )
( -6/5 , 0.15197 )
( -11/10 , 0.15672 )
( -1 , 0.16140 )
( -9/10 , 0.16598 )
( -4/5 , 0.17042 )
( -7/10 , 0.17465 )
( -3/5 , 0.17860 )
( -1/2 , 0.18225 )
( -2/5 , 0.18560 )
( -3/10 , 0.18857 )
( -1/5 , 0.19101 )
( -1/10 , 0.19264 )
( 0 , 0.19321 )
( 1/10 , 0.19264 )
( 1/5 , 0.19101 )
( 3/10 , 0.18857 )
( 2/5 , 0.18560 )
( 1/2 , 0.18225 )
( 3/5 , 0.17860 )
( 7/10 , 0.17465 )
( 4/5 , 0.17042 )
( 9/10 , 0.16598 )
( 1 , 0.16140 )
( 11/10 , 0.15672 )
( 6/5 , 0.15197 )
( 13/10 , 0.14713 )
( 7/5 , 0.14222 )
( 3/2 , 0.13728 )
( 8/5 , 0.13236 )
( 17/10 , 0.12746 )
( 9/5 , 0.12258 )
( 19/10 , 0.11773 )
( 2 , 0.11291 )
( 21/10 , 0.10816 )
( 11/5 , 0.10349 )
( 23/10 , 0.098903 )
( 12/5 , 0.094394 )
( 5/2 , 0.089962 )
( 13/5 , 0.085626 )
( 27/10 , 0.081402 )
( 14/5 , 0.077295 )
( 29/10 , 0.073295 )
( 3 , 0.069397 )
( 31/10 , 0.065609 )
( 16/5 , 0.061945 )
( 33/10 , 0.058413 )
( 17/5 , 0.055001 )
( 7/2 , 0.051703 )
( 18/5 , 0.048520 )
( 37/10 , 0.045462 )
( 19/5 , 0.042536 )
( 39/10 , 0.039735 )
( 4 , 0.037047 )
( 41/10 , 0.034472 )
( 21/5 , 0.032016 )
( 43/10 , 0.029686 )
( 22/5 , 0.027475 )
( 9/2 , 0.025370 )
( 23/5 , 0.023368 )
( 47/10 , 0.021477 )
( 24/5 , 0.019701 )
( 49/10 , 0.018030 )
( 5 , 0.016452 )
( 51/10 , 0.014965 )
( 26/5 , 0.013579 )
( 53/10 , 0.012292 )
( 27/5 , 0.011091 )
( 11/2 , 0.0099672 )
( 28/5 , 0.0089239 )
( 57/10 , 0.0079681 )
( 29/5 , 0.0070911 )
( 59/10 , 0.0062779 )
( 6 , 0.0055278 )
( 61/10 , 0.0048502 )
( 31/5 , 0.0042408 )
( 63/10 , 0.0036829 )
( 32/5 , 0.0031729 )
( 13/2 , 0.0027215 )
( 33/5 , 0.0023256 )
( 67/10 , 0.0019666 )
( 34/5 , 0.0016434 )
( 69/10 , 0.0013683 )
( 7 , 0.0011300 )
( 71/10 , 0.00090992 )
( 36/5 , 0.00072535 )
( 73/10 , 0.00054269 )
( 37/5 , 0.00041402 )
( 15/2 , 0.00025034 )
( 38/5 , 0.00036331 )
( 77/10 , 0 )
( 39/5 , 0 )
( 79/10 , 0 )
( 8 , 0 )
